work_year,employment_type,salary,salary_in_usd,remote_ratio,experience_level_encoded,company_size_encoded,job_title_grouped,employee_residence_grouped,company_location_grouped,salary_currency_grouped
2023,FT,180000,180000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,121600,121600,100,1,2,High,High,High,High
2022,FT,57000,59888,100,4,3,Low,Low,Low,Low
2023,FT,150900,150900,0,3,2,Very High,Very High,Very High,Very High
2022,FT,146000,146000,100,1,2,High,High,High,High
2023,FT,193000,193000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,138750,138750,100,1,2,High,High,High,High
2022,FT,6000000,76309,50,3,3,Medium,Medium,Medium,Medium
2022,FT,195700,195700,0,1,2,Very High,Very High,Very High,Very High
2023,FT,159100,159100,0,1,3,Very High,Very High,Very High,Very High
2023,FT,133300,133300,0,1,2,High,High,High,High
2023,FT,145000,145000,100,1,2,High,High,High,High
2023,FT,170000,170000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,165000,165000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,90000,69133,50,2,3,Medium,Medium,Medium,Medium
2023,FT,149600,149600,0,2,2,High,High,High,High
2022,FT,247500,247500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,130000,130000,0,2,2,High,High,High,High
2022,FT,78000,78000,0,1,2,Medium,Medium,Medium,Medium
2023,FT,93800,93800,100,1,2,High,High,High,High
2023,FT,300240,300240,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,140000,140000,0,1,2,High,High,High,High
2023,FT,130000,130000,100,1,2,High,High,High,High
2023,FT,122700,122700,0,1,2,High,High,High,High
2023,FT,190000,190000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,115000,115000,100,1,2,High,High,High,High
2022,FT,222640,222640,0,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,159000,159000,100,3,2,Very High,Very High,Very High,Very High
2023,FT,109400,109400,0,1,2,High,High,High,High
2023,FT,80000,80000,0,2,2,Medium,Medium,Medium,Medium
2023,FT,124234,124234,0,4,2,High,High,High,High
2023,FT,153400,153400,0,1,2,Very High,Very High,Very High,Very High
2023,FT,142200,142200,0,1,2,High,High,High,High
2023,FT,252000,252000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,185000,185000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,65000,65000,0,4,2,Medium,Medium,Medium,Medium
2023,FT,105200,105200,0,1,2,High,High,High,High
2022,FT,120000,120000,0,2,2,High,High,High,High
2023,FT,100000,75020,0,2,2,Medium,Medium,Medium,Medium
2023,FT,163800,163800,0,1,2,Very High,Very High,Very High,Very High
2023,FT,245100,245100,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,230000,230000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,288000,288000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,116000,116000,0,1,2,High,High,High,High
2023,FT,142200,142200,0,1,2,High,High,High,High
2023,FT,167500,167500,0,1,2,Very High,Very High,Very High,Very High
2023,FT,291500,291500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,160000,160000,0,1,3,Very High,Very High,Very High,Very High
2023,FT,120000,120000,0,2,2,High,High,High,High
2023,FT,170000,170000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,115500,115500,100,2,2,High,High,High,High
2022,FT,100000,100000,0,1,2,High,High,High,High
2023,FT,120000,120000,0,2,2,High,High,High,High
2022,CT,60000,60000,100,2,1,Medium,Medium,Medium,Medium
2022,FT,172200,172200,0,1,2,Very High,Very High,Very High,Very High
2022,FT,127000,127000,100,1,2,High,High,High,High
2023,FT,180000,180000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,62000,62000,100,4,2,Medium,Medium,Medium,Medium
2022,FT,100000,100000,0,2,2,High,High,High,High
2022,FT,105000,105000,0,2,2,High,High,High,High
2022,FT,66500,51081,100,4,3,Low,Low,Low,Low
2023,FT,100000,100000,50,1,3,High,High,High,High
2022,FT,195400,195400,100,1,3,Very High,Very High,Very High,Very High
2023,FT,109400,109400,0,1,2,High,High,High,High
2023,FT,165000,165000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,136000,136000,100,1,2,High,High,High,High
2022,FT,160000,160000,100,2,2,Very High,Very High,Very High,Very High
2023,FT,190000,190000,0,4,2,Very High,Very High,Very High,Very High
2022,FT,100000,100000,100,2,2,High,High,High,High
2023,FT,140000,140000,0,1,2,High,High,High,High
2023,FT,145000,145000,0,1,2,High,High,High,High
2023,FT,201450,201450,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,95000,95000,0,1,2,High,High,High,High
2023,FT,262000,262000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,105000,127599,0,2,2,High,High,High,High
2023,FT,148750,148750,0,1,2,High,High,High,High
2022,FT,188700,188700,100,1,2,Very High,Very High,Very High,Very High
2022,FT,65000,65000,0,2,2,Medium,Medium,Medium,Medium
2023,FT,183000,183000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,117000,117000,100,1,2,High,High,High,High
2021,FT,9272,9272,100,4,1,Low,Low,Low,Low
2020,FT,100000,114047,100,1,1,High,High,High,High
2023,FT,133300,133300,0,1,2,High,High,High,High
2023,FT,130000,130000,100,1,2,High,High,High,High
2023,FT,90000,90000,0,2,2,High,High,High,High
2022,FT,159000,159000,0,1,3,Very High,Very High,Very High,Very High
2022,FT,84000,103432,0,1,2,High,High,High,High
2021,FT,174000,174000,100,1,3,Very High,Very High,Very High,Very High
2023,FT,81500,81500,0,1,2,Medium,Medium,Medium,Medium
2023,FT,154600,154600,100,1,2,Very High,Very High,Very High,Very High
2022,FT,70000,86193,100,2,2,Medium,Medium,Medium,Medium
2023,FT,52000,55800,100,1,2,Low,Low,Low,Low
2023,FT,120000,120000,100,2,2,High,High,High,High
2022,FT,300000,300000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,141525,141525,100,1,2,High,High,High,High
2022,FT,102100,102100,0,2,2,High,High,High,High
2022,FT,136600,136600,100,1,2,High,High,High,High
2023,FT,80000,80000,100,1,2,Medium,Medium,Medium,Medium
2023,FT,64980,64980,0,1,2,Medium,Medium,Medium,Medium
2022,FT,149040,149040,100,1,2,High,High,High,High
2023,FT,113000,113000,0,1,2,High,High,High,High
2022,FT,142127,142127,100,1,2,High,High,High,High
2023,FT,95000,95000,0,1,2,High,High,High,High
2022,FT,205000,205000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,120000,120000,0,1,2,High,High,High,High
2022,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,148500,148500,0,2,2,High,High,High,High
2022,FT,155000,155000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,125000,125000,100,1,2,High,High,High,High
2022,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,95000,95000,0,2,2,High,High,High,High
2022,FT,57000,57000,100,4,3,Low,Low,Low,Low
2022,FT,184000,184000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,90000,90000,0,2,2,High,High,High,High
2021,FT,70000,82744,50,1,2,Medium,Medium,Medium,Medium
2023,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,10000,10000,0,2,2,Low,Low,Low,Low
2022,FT,215000,215000,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,69000,69000,100,1,2,Medium,Medium,Medium,Medium
2023,FT,90000,90000,0,2,2,High,High,High,High
2022,FT,180000,180000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,75000,75000,100,2,1,Medium,Medium,Medium,Medium
2022,FT,140000,140000,100,1,2,High,High,High,High
2022,FT,250000,250000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,132000,132000,0,1,2,High,High,High,High
2022,FT,185100,185100,100,1,2,Very High,Very High,Very High,Very High
2022,FT,160000,160000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,136994,136994,100,1,2,High,High,High,High
2022,FT,70000,86193,0,2,2,Medium,Medium,Medium,Medium
2022,FT,100000,100000,0,1,2,High,High,High,High
2023,FT,74178,74178,0,1,2,Medium,Medium,Medium,Medium
2023,FT,252000,252000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2020,FT,88000,112872,50,2,3,High,High,High,High
2022,FT,167875,167875,100,3,2,Very High,Very High,Very High,Very High
2023,FT,120000,120000,0,1,2,High,High,High,High
2023,FT,139500,139500,0,1,2,High,High,High,High
2022,FT,119300,119300,0,1,3,High,High,High,High
2022,FT,131300,131300,100,1,3,High,High,High,High
2022,FT,235000,235000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,210000,210000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,82365,82365,0,1,2,Medium,Medium,Medium,Medium
2023,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,40000,40000,50,2,3,Low,Low,Low,Low
2022,FT,40300,7799,100,4,3,Low,Low,Low,Low
2023,FT,204500,204500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,220000,220000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,170000,170000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,134000,134000,0,2,2,High,High,High,High
2023,FT,185000,185000,0,3,2,Very High,Very High,Very High,Very High
2023,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,115000,115000,0,2,2,High,High,High,High
2020,FT,125000,125000,50,1,1,High,High,High,High
2020,FT,44000,50180,0,2,2,Low,Low,Low,Low
2023,FT,55000,59020,0,2,2,Low,Low,Low,Low
2022,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,167580,167580,0,1,2,Very High,Very High,Very High,Very High
2022,FT,160000,160000,0,2,2,Very High,Very High,Very High,Very High
2022,FT,112000,112000,100,2,2,High,High,High,High
2023,FT,100000,100000,0,2,2,High,High,High,High
2022,FT,220000,220000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,120000,120000,0,4,2,High,High,High,High
2023,FT,134500,134500,0,1,3,High,High,High,High
2022,FT,175100,175100,100,1,2,Very High,Very High,Very High,Very High
2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,75000,75000,100,4,2,Medium,Medium,Medium,Medium
2023,FT,200000,200000,0,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,70000,70000,0,1,2,Medium,Medium,Medium,Medium
2021,FT,87000,102839,100,1,3,High,High,High,High
2023,FT,213580,213580,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,40000,40000,100,4,3,Low,Low,Low,Low
2022,FT,150000,150000,0,2,2,Very High,Very High,Very High,Very High
2023,FT,185000,185000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,180000,180000,100,2,2,Very High,Very High,Very High,Very High
2023,FT,145000,145000,0,1,2,High,High,High,High
2022,FT,224000,224000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,80000,84053,0,3,3,Medium,Medium,Medium,Medium
2023,FT,210000,210000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,142200,142200,0,1,2,High,High,High,High
2022,FT,140000,172386,0,2,2,Very High,Very High,Very High,Very High
2022,FT,1440000,18314,50,2,3,Low,Low,Low,Low
2023,FT,65000,65000,0,1,2,Medium,Medium,Medium,Medium
2023,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,235000,235000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,275300,275300,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,112000,112000,100,1,2,High,High,High,High
2023,FT,92700,92700,100,4,2,High,High,High,High
2023,FT,162500,162500,0,1,2,Very High,Very High,Very High,Very High
2023,FT,85000,85000,0,1,2,Medium,Medium,Medium,Medium
2022,FT,242000,242000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,205000,205000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,106800,106800,100,1,2,High,High,High,High
2023,FT,203000,203000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,154600,154600,0,1,3,Very High,Very High,Very High,Very High
2022,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
2022,FT,243900,243900,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,90700,90700,0,1,2,High,High,High,High
2021,FT,67000,79197,100,1,3,Medium,Medium,Medium,Medium
2023,FT,286000,286000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,60000,60000,100,2,2,Medium,Medium,Medium,Medium
2023,FT,50000,60761,0,2,2,Medium,Medium,Medium,Medium
2021,FT,112000,112000,100,2,3,High,High,High,High
2022,FT,110000,135446,0,2,2,High,High,High,High
2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,100000,100000,100,2,2,High,High,High,High
2022,FT,116250,116250,100,1,2,High,High,High,High
2023,FT,110600,110600,0,1,2,High,High,High,High
2022,FT,117000,117000,100,1,2,High,High,High,High
2023,FT,174000,174000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,180000,180000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,162500,162500,100,1,2,Very High,Very High,Very High,Very High
2022,FT,81666,81666,100,1,2,Medium,Medium,Medium,Medium
2023,FT,168400,168400,0,1,2,Very High,Very High,Very High,Very High
2023,FT,125000,125000,0,4,2,High,High,High,High
2022,FT,120000,120000,100,2,2,High,High,High,High
2023,FT,130000,130000,100,1,2,High,High,High,High
2023,FT,185000,185000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,225000,225000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,149500,149500,100,1,2,High,High,High,High
2023,FT,129300,129300,0,1,2,High,High,High,High
2021,FT,180000,20171,50,1,3,Low,Low,Low,Low
2022,FT,57000,70186,0,2,2,Medium,Medium,Medium,Medium
2021,FT,75000,88654,100,1,3,Medium,Medium,Medium,Medium
2023,FT,259000,259000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,172200,172200,0,1,2,Very High,Very High,Very High,Very High
2023,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
2022,FT,180000,180000,100,1,3,Very High,Very High,Very High,Very High
2023,FT,183000,183000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,65000,65000,100,2,2,Medium,Medium,Medium,Medium
2022,FT,200000,200000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,120000,120000,100,1,2,High,High,High,High
2022,FT,180000,180000,0,1,3,Very High,Very High,Very High,Very High
2023,FT,130000,130000,100,1,2,High,High,High,High
2021,FL,20000,20000,0,2,3,Low,Low,Low,Low
2023,FT,162000,162000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,119000,119000,0,1,2,High,High,High,High
2023,FT,120000,120000,0,1,2,High,High,High,High
2021,FT,1672000,22611,0,2,3,Low,Low,Low,Low
2023,FT,200000,200000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,163800,163800,0,1,2,Very High,Very High,Very High,Very High
2020,FT,115000,115000,0,2,3,High,High,High,High
2023,FT,153600,153600,0,1,2,Very High,Very High,Very High,Very High
2022,FT,144000,144000,100,1,2,High,High,High,High
2022,FT,89200,89200,100,1,2,Medium,Medium,Medium,Medium
2023,FT,125000,125000,0,2,2,High,High,High,High
2022,FT,81666,81666,100,1,2,Medium,Medium,Medium,Medium
2023,FT,162500,162500,0,2,2,Very High,Very High,Very High,Very High
2023,FT,191765,191765,0,1,2,Very High,Very High,Very High,Very High
2023,FT,128750,128750,0,2,2,High,High,High,High
2022,FT,77000,53368,100,2,2,Low,Low,Low,Low
2023,FT,138750,138750,100,1,2,High,High,High,High
2023,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,191475,191475,100,1,2,Very High,Very High,Very High,Very High
2023,FT,350000,350000,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2021,FT,120000,120000,0,1,3,High,High,High,High
2023,FT,260000,260000,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2021,FT,120000,120000,50,1,1,High,High,High,High
2023,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
2023,FT,125000,125000,100,1,2,High,High,High,High
2023,FT,174500,174500,0,1,2,Very High,Very High,Very High,Very High
2023,FT,221000,221000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,158677,158677,100,1,2,Very High,Very High,Very High,Very High
2023,FT,95000,95000,100,2,2,High,High,High,High
2022,FT,96000,118208,0,2,2,High,High,High,High
2023,FT,107000,107000,100,1,2,High,High,High,High
2023,FT,153600,153600,0,1,2,Very High,Very High,Very High,Very High
2022,FT,300000,300000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,159000,159000,100,2,2,Very High,Very High,Very High,Very High
2021,FT,8500000,77364,50,2,1,Medium,Medium,Medium,Medium
2023,FT,156400,156400,0,1,2,Very High,Very High,Very High,Very High
2023,FT,80000,80000,100,1,2,Medium,Medium,Medium,Medium
2023,FT,250000,250000,0,2,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,140000,140000,100,1,2,High,High,High,High
2023,FT,130000,130000,0,2,2,High,High,High,High
2021,FT,100000,100000,0,4,1,High,High,High,High
2023,FT,200000,200000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,90000,90000,100,1,2,High,High,High,High
2023,FT,190000,190000,0,1,2,Very High,Very High,Very High,Very High
2022,FT,81666,81666,100,1,2,Medium,Medium,Medium,Medium
2023,FT,250500,250500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,80000,84053,100,2,2,Medium,Medium,Medium,Medium
2022,FT,180000,180000,100,2,2,Very High,Very High,Very High,Very High
2023,FT,161200,195895,0,2,2,Very High,Very High,Very High,Very High
2022,FT,200000,200000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,193000,193000,100,1,2,Very High,Very High,Very High,Very High
2022,FT,110000,110000,100,1,2,High,High,High,High
2023,FT,80000,80000,100,2,1,Medium,Medium,Medium,Medium
2023,FT,83300,101228,0,1,2,High,High,High,High
2022,FT,123648,123648,0,1,2,High,High,High,High
2022,FT,192564,192564,100,1,2,Very High,Very High,Very High,Very High
2022,FT,146200,146200,100,1,2,High,High,High,High
2023,FT,113750,113750,0,1,2,High,High,High,High
2023,FT,185000,185000,0,1,2,Very High,Very High,Very High,Very High
2023,FT,200000,200000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2023,FT,90000,90000,0,2,2,High,High,High,High
2022,FT,95000,95000,0,1,2,High,High,High,High
2023,FT,260000,260000,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
2022,FT,119000,119000,0,1,2,High,High,High,High
