,work_year,employment_type,salary,salary_in_usd,remote_ratio,experience_level_encoded,company_size_encoded,job_title_grouped,employee_residence_grouped,company_location_grouped,salary_currency_grouped
847,2023,FT,153400,153400,0,1,2,Very High,Very High,Very High,Very High
905,2023,FT,142200,142200,0,1,2,High,High,High,High
631,2023,FT,252000,252000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1775,2023,FT,185000,185000,0,1,2,Very High,Very High,Very High,Very High
1877,2022,FT,65000,65000,0,4,2,Medium,Medium,Medium,Medium
162,2023,FT,105200,105200,0,1,2,High,High,High,High
1869,2022,FT,120000,120000,0,2,2,High,High,High,High
219,2023,FT,100000,75020,0,2,2,Medium,Medium,Medium,Medium
1362,2023,FT,163800,163800,0,1,2,Very High,Very High,Very High,Very High
1132,2023,FT,245100,245100,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2067,2022,FT,230000,230000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2505,2022,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
1185,2023,FT,288000,288000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
925,2023,FT,116000,116000,0,1,2,High,High,High,High
1627,2023,FT,142200,142200,0,1,2,High,High,High,High
547,2023,FT,167500,167500,0,1,2,Very High,Very High,Very High,Very High
1647,2023,FT,291500,291500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3089,2022,FT,160000,160000,0,1,3,Very High,Very High,Very High,Very High
1667,2023,FT,120000,120000,0,2,2,High,High,High,High
568,2023,FT,170000,170000,0,1,2,Very High,Very High,Very High,Very High
3297,2022,FT,115500,115500,100,2,2,High,High,High,High
1938,2022,FT,100000,100000,0,1,2,High,High,High,High
1618,2023,FT,120000,120000,0,2,2,High,High,High,High
2805,2022,CT,60000,60000,100,2,1,Medium,Medium,Medium,Medium
2431,2022,FT,172200,172200,0,1,2,Very High,Very High,Very High,Very High
2423,2022,FT,127000,127000,100,1,2,High,High,High,High
1795,2023,FT,180000,180000,0,1,2,Very High,Very High,Very High,Very High
611,2023,FT,62000,62000,100,4,2,Medium,Medium,Medium,Medium
1842,2022,FT,100000,100000,0,2,2,High,High,High,High
2648,2022,FT,105000,105000,0,2,2,High,High,High,High
3438,2022,FT,66500,51081,100,4,3,Low,Low,Low,Low
1340,2023,FT,100000,100000,50,1,3,High,High,High,High
2792,2022,FT,195400,195400,100,1,3,Very High,Very High,Very High,Very High
742,2023,FT,109400,109400,0,1,2,High,High,High,High
637,2023,FT,165000,165000,0,1,2,Very High,Very High,Very High,Very High
1001,2023,FT,136000,136000,100,1,2,High,High,High,High
2419,2022,FT,160000,160000,100,2,2,Very High,Very High,Very High,Very High
581,2023,FT,190000,190000,0,4,2,Very High,Very High,Very High,Very High
2437,2022,FT,100000,100000,100,2,2,High,High,High,High
1788,2023,FT,140000,140000,0,1,2,High,High,High,High
1659,2023,FT,145000,145000,0,1,2,High,High,High,High
73,2023,FT,201450,201450,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2353,2022,FT,95000,95000,0,1,2,High,High,High,High
48,2023,FT,262000,262000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
932,2023,FT,105000,127599,0,2,2,High,High,High,High
831,2023,FT,148750,148750,0,1,2,High,High,High,High
2666,2022,FT,188700,188700,100,1,2,Very High,Very High,Very High,Very High
2274,2022,FT,65000,65000,0,2,2,Medium,Medium,Medium,Medium
921,2023,FT,183000,183000,100,1,2,Very High,Very High,Very High,Very High
3008,2022,FT,117000,117000,100,1,2,High,High,High,High
3651,2021,FT,9272,9272,100,4,1,Low,Low,Low,Low
3683,2020,FT,100000,114047,100,1,1,High,High,High,High
1731,2023,FT,133300,133300,0,1,2,High,High,High,High
756,2023,FT,130000,130000,100,1,2,High,High,High,High
1174,2023,FT,90000,90000,0,2,2,High,High,High,High
2718,2022,FT,159000,159000,0,1,3,Very High,Very High,Very High,Very High
2486,2022,FT,84000,103432,0,1,2,High,High,High,High
3654,2021,FT,174000,174000,100,1,3,Very High,Very High,Very High,Very High
1395,2023,FT,81500,81500,0,1,2,Medium,Medium,Medium,Medium
1461,2023,FT,154600,154600,100,1,2,Very High,Very High,Very High,Very High
2245,2022,FT,70000,86193,100,2,2,Medium,Medium,Medium,Medium
1221,2023,FT,52000,55800,100,1,2,Low,Low,Low,Low
1577,2023,FT,120000,120000,100,2,2,High,High,High,High
2162,2022,FT,300000,300000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2927,2022,FT,141525,141525,100,1,2,High,High,High,High
3347,2022,FT,102100,102100,0,2,2,High,High,High,High
3306,2022,FT,136600,136600,100,1,2,High,High,High,High
572,2023,FT,80000,80000,100,1,2,Medium,Medium,Medium,Medium
1041,2023,FT,64980,64980,0,1,2,Medium,Medium,Medium,Medium
2996,2022,FT,149040,149040,100,1,2,High,High,High,High
1777,2023,FT,113000,113000,0,1,2,High,High,High,High
2405,2022,FT,142127,142127,100,1,2,High,High,High,High
1071,2023,FT,95000,95000,0,1,2,High,High,High,High
2289,2022,FT,205000,205000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1055,2023,FT,120000,120000,0,1,2,High,High,High,High
2384,2022,FT,175000,175000,100,1,2,Very High,Very High,Very High,Very High
1135,2023,FT,148500,148500,0,2,2,High,High,High,High
3258,2022,FT,155000,155000,100,1,2,Very High,Very High,Very High,Very High
2259,2022,FT,125000,125000,100,1,2,High,High,High,High
2223,2022,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
1507,2023,FT,95000,95000,0,2,2,High,High,High,High
2650,2022,FT,57000,57000,100,4,3,Low,Low,Low,Low
2299,2022,FT,184000,184000,100,1,2,Very High,Very High,Very High,Very High
1818,2023,FT,90000,90000,0,2,2,High,High,High,High
3505,2021,FT,70000,82744,50,1,2,Medium,Medium,Medium,Medium
259,2023,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
2712,2022,FT,10000,10000,0,2,2,Low,Low,Low,Low
2717,2022,FT,215000,215000,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
3381,2022,FT,69000,69000,100,1,2,Medium,Medium,Medium,Medium
812,2023,FT,90000,90000,0,2,2,High,High,High,High
2689,2022,FT,180000,180000,100,1,2,Very High,Very High,Very High,Very High
3454,2022,FT,75000,75000,100,2,1,Medium,Medium,Medium,Medium
3401,2022,FT,140000,140000,100,1,2,High,High,High,High
3044,2022,FT,250000,250000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3176,2022,FT,132000,132000,0,1,2,High,High,High,High
3414,2022,FT,185100,185100,100,1,2,Very High,Very High,Very High,Very High
2092,2022,FT,160000,160000,0,1,2,Very High,Very High,Very High,Very High
2841,2022,FT,136994,136994,100,1,2,High,High,High,High
3403,2022,FT,70000,86193,0,2,2,Medium,Medium,Medium,Medium
2457,2022,FT,100000,100000,0,1,2,High,High,High,High
1497,2023,FT,74178,74178,0,1,2,Medium,Medium,Medium,Medium
1378,2023,FT,252000,252000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3573,2020,FT,88000,112872,50,2,3,High,High,High,High
3311,2022,FT,167875,167875,100,3,2,Very High,Very High,Very High,Very High
1138,2023,FT,120000,120000,0,1,2,High,High,High,High
1171,2023,FT,139500,139500,0,1,2,High,High,High,High
2947,2022,FT,119300,119300,0,1,3,High,High,High,High
2795,2022,FT,131300,131300,100,1,3,High,High,High,High
2232,2022,FT,235000,235000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1094,2023,FT,210000,210000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
867,2023,FT,82365,82365,0,1,2,Medium,Medium,Medium,Medium
926,2023,FT,160000,160000,100,1,2,Very High,Very High,Very High,Very High
997,2023,FT,40000,40000,50,2,3,Low,Low,Low,Low
2840,2022,FT,40300,7799,100,4,3,Low,Low,Low,Low
1770,2023,FT,204500,204500,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3404,2022,FT,220000,220000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
210,2023,FT,170000,170000,0,1,2,Very High,Very High,Very High,Very High
2646,2022,FT,134000,134000,0,2,2,High,High,High,High
59,2023,FT,185000,185000,0,3,2,Very High,Very High,Very High,Very High
1539,2023,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
1894,2022,FT,115000,115000,0,2,2,High,High,High,High
3657,2020,FT,125000,125000,50,1,1,High,High,High,High
3562,2020,FT,44000,50180,0,2,2,Low,Low,Low,Low
765,2023,FT,55000,59020,0,2,2,Low,Low,Low,Low
1922,2022,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
1075,2023,FT,167580,167580,0,1,2,Very High,Very High,Very High,Very High
2954,2022,FT,160000,160000,0,2,2,Very High,Very High,Very High,Very High
2851,2022,FT,112000,112000,100,2,2,High,High,High,High
1813,2023,FT,100000,100000,0,2,2,High,High,High,High
1859,2022,FT,220000,220000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
582,2023,FT,120000,120000,0,4,2,High,High,High,High
1815,2023,FT,134500,134500,0,1,3,High,High,High,High
3330,2022,FT,175100,175100,100,1,2,Very High,Very High,Very High,Very High
940,2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
187,2023,FT,75000,75000,100,4,2,Medium,Medium,Medium,Medium
1606,2023,FT,200000,200000,0,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2171,2022,FT,70000,70000,0,1,2,Medium,Medium,Medium,Medium
3436,2021,FT,87000,102839,100,1,3,High,High,High,High
1255,2023,FT,213580,213580,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
3443,2022,FT,40000,40000,100,4,3,Low,Low,Low,Low
1950,2022,FT,150000,150000,0,2,2,Very High,Very High,Very High,Very High
226,2023,FT,185000,185000,0,1,2,Very High,Very High,Very High,Very High
1431,2023,FT,180000,180000,100,2,2,Very High,Very High,Very High,Very High
535,2023,FT,145000,145000,0,1,2,High,High,High,High
3310,2022,FT,224000,224000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
3064,2022,FT,80000,84053,0,3,3,Medium,Medium,Medium,Medium
697,2023,FT,210000,210000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2499,2022,FT,142200,142200,0,1,2,High,High,High,High
3402,2022,FT,140000,172386,0,2,2,Very High,Very High,Very High,Very High
1739,2022,FT,1440000,18314,50,2,3,Low,Low,Low,Low
1037,2023,FT,65000,65000,0,1,2,Medium,Medium,Medium,Medium
208,2023,FT,150000,150000,100,1,2,Very High,Very High,Very High,Very High
1313,2023,FT,235000,235000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
565,2023,FT,275300,275300,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
313,2023,FT,112000,112000,100,1,2,High,High,High,High
601,2023,FT,92700,92700,100,4,2,High,High,High,High
233,2023,FT,162500,162500,0,1,2,Very High,Very High,Very High,Very High
1113,2023,FT,85000,85000,0,1,2,Medium,Medium,Medium,Medium
3238,2022,FT,242000,242000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
3028,2022,FT,205000,205000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2599,2022,FT,106800,106800,100,1,2,High,High,High,High
111,2023,FT,203000,203000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
2208,2022,FT,154600,154600,0,1,3,Very High,Very High,Very High,Very High
2582,2022,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
2408,2022,FT,243900,243900,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1210,2023,FT,90700,90700,0,1,2,High,High,High,High
3551,2021,FT,67000,79197,100,1,3,Medium,Medium,Medium,Medium
472,2023,FT,286000,286000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
1912,2022,FT,60000,60000,100,2,2,Medium,Medium,Medium,Medium
1192,2023,FT,50000,60761,0,2,2,Medium,Medium,Medium,Medium
3622,2021,FT,112000,112000,100,2,3,High,High,High,High
3113,2022,FT,110000,135446,0,2,2,High,High,High,High
361,2023,FT,150000,150000,0,1,2,Very High,Very High,Very High,Very High
135,2023,FT,100000,100000,100,2,2,High,High,High,High
2320,2022,FT,116250,116250,100,1,2,High,High,High,High
1053,2023,FT,110600,110600,0,1,2,High,High,High,High
3115,2022,FT,117000,117000,100,1,2,High,High,High,High
22,2023,FT,174000,174000,0,1,2,Very High,Very High,Very High,Very High
1641,2023,FT,180000,180000,0,1,2,Very High,Very High,Very High,Very High
1234,2023,FT,162500,162500,100,1,2,Very High,Very High,Very High,Very High
2377,2022,FT,81666,81666,100,1,2,Medium,Medium,Medium,Medium
695,2023,FT,168400,168400,0,1,2,Very High,Very High,Very High,Very High
420,2023,FT,125000,125000,0,4,2,High,High,High,High
2107,2022,FT,120000,120000,100,2,2,High,High,High,High
460,2023,FT,130000,130000,100,1,2,High,High,High,High
1067,2023,FT,185000,185000,0,1,2,Very High,Very High,Very High,Very High
87,2023,FT,225000,225000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
282,2023,FT,149500,149500,100,1,2,High,High,High,High
1178,2023,FT,129300,129300,0,1,2,High,High,High,High
3624,2021,FT,180000,20171,50,1,3,Low,Low,Low,Low
2114,2022,FT,57000,70186,0,2,2,Medium,Medium,Medium,Medium
3563,2021,FT,75000,88654,100,1,3,Medium,Medium,Medium,Medium
1149,2023,FT,259000,259000,100,1,2,Extremely High,Extremely High,Extremely High,Extremely High
859,2023,FT,172200,172200,0,1,2,Very High,Very High,Very High,Very High
533,2023,FT,185900,185900,0,1,2,Very High,Very High,Very High,Very High
3053,2022,FT,180000,180000,100,1,3,Very High,Very High,Very High,Very High
1417,2023,FT,183000,183000,0,1,2,Very High,Very High,Very High,Very High
2031,2022,FT,65000,65000,100,2,2,Medium,Medium,Medium,Medium
2980,2022,FT,200000,200000,100,3,2,Extremely High,Extremely High,Extremely High,Extremely High
2979,2022,FT,120000,120000,100,1,2,High,High,High,High
3252,2022,FT,180000,180000,0,1,3,Very High,Very High,Very High,Very High
1615,2023,FT,130000,130000,100,1,2,High,High,High,High
3696,2021,FL,20000,20000,0,2,3,Low,Low,Low,Low
1743,2023,FT,162000,162000,0,1,2,Very High,Very High,Very High,Very High
1459,2023,FT,119000,119000,0,1,2,High,High,High,High
1789,2023,FT,120000,120000,0,1,2,High,High,High,High
3666,2021,FT,1672000,22611,0,2,3,Low,Low,Low,Low
1151,2023,FT,200000,200000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
942,2023,FT,163800,163800,0,1,2,Very High,Very High,Very High,Very High
3607,2020,FT,115000,115000,0,2,3,High,High,High,High
1237,2023,FT,153600,153600,0,1,2,Very High,Very High,Very High,Very High
2080,2022,FT,144000,144000,100,1,2,High,High,High,High
2566,2022,FT,89200,89200,100,1,2,Medium,Medium,Medium,Medium
887,2023,FT,125000,125000,0,2,2,High,High,High,High
2669,2022,FT,81666,81666,100,1,2,Medium,Medium,Medium,Medium
685,2023,FT,162500,162500,0,2,2,Very High,Very High,Very High,Very High
413,2023,FT,191765,191765,0,1,2,Very High,Very High,Very High,Very High
789,2023,FT,128750,128750,0,2,2,High,High,High,High
2940,2022,FT,77000,53368,100,2,2,Low,Low,Low,Low
1270,2023,FT,138750,138750,100,1,2,High,High,High,High
1309,2023,FT,175000,175000,0,1,2,Very High,Very High,Very High,Very High
2881,2022,FT,191475,191475,100,1,2,Very High,Very High,Very High,Very High
1421,2023,FT,350000,350000,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
3695,2021,FT,120000,120000,0,1,3,High,High,High,High
272,2023,FT,260000,260000,0,1,3,Extremely High,Extremely High,Extremely High,Extremely High
3495,2021,FT,120000,120000,50,1,1,High,High,High,High
521,2023,FT,170000,170000,100,1,2,Very High,Very High,Very High,Very High
522,2023,FT,125000,125000,100,1,2,High,High,High,High
1784,2023,FT,174500,174500,0,1,2,Very High,Very High,Very High,Very High
350,2023,FT,221000,221000,0,1,2,Extremely High,Extremely High,Extremely High,Extremely High
1436,2023,FT,158677,158677,100,1,2,Very High,Very High,Very High,Very High
1653,2023,FT,95000,95000,100,2,2,High,High,High,High
2921,2022,FT,96000,118208,0,2,2,High,High,High,High
1373,2023,FT,107000,107000,100,1,2,High,High,High,High
